*****************************
Basic coeficients
*****************************
  -2.000    ,    .3014E-01
    .000    ,    .3170E-01
   2.000    ,    .3320E-01
   4.000    ,    .3462E-01
   6.000    ,    .3523E-01
   8.000    ,    .3509E-01

*****************************
Flap terms
*****************************
Plain flaps
DeltaFlap, CL
  -20.00    ,   -.1484    
  -10.00    ,   -.9659E-01
  -5.000    ,   -.4829E-01
    .000    ,     .000    
   7.500    ,    .7244E-01
   15.00    ,    .1387    
   20.00    ,    .1484    

Plain flaps
DeltaFlap, Cm
  -20.00    ,    3.049    
  -10.00    ,    1.969    
  -5.000    ,    .9846    
    .000    ,     .000    
   7.500    ,   -1.477    
   15.00    ,   -2.825    
   20.00    ,   -3.067    

Cd_Flaps for Plain flaps
Alpha, DeltaFlap
            ,   -20.00    ,   -10.00    ,   -5.000    ,     .000    ,    7.500    ,    15.00    ,    20.00    
  -16.00    ,    .1104    ,    .2613E-01,   -.2146E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -12.00    ,    .9144E-01,    .1996E-01,   -.1220E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -8.000    ,    .7285E-01,    .1391E-01,   -.3124E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -4.000    ,    .5436E-01,    .7888E-02,    .5903E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -2.000    ,    .4556E-01,    .5024E-02,    .1020E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
    .000    ,    .3704E-01,    .2252E-02,    .1436E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   2.000    ,    .2843E-01,   -.5482E-03,    .1856E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   4.000    ,    .1966E-01,   -.3406E-02,    .2284E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   6.000    ,    .1054E-01,   -.6373E-02,    .2729E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   8.000    ,    .1225E-02,   -.9403E-02,    .3184E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29

Plain Flaps (set 2)
DeltaFlap, CL
   20.00    ,   -.1492    
   10.00    ,   -.9710E-01
   5.000    ,   -.4855E-01
    .000    ,     .000    
  -7.500    ,    .7283E-01
  -15.00    ,    .1394    
  -20.00    ,    .1492    

Plain Flaps (set 2)
DeltaFlap, Cm
   20.00    ,    3.107    
   10.00    ,    2.036    
   5.000    ,    1.018    
    .000    ,     .000    
  -7.500    ,   -1.527    
  -15.00    ,   -2.921    
  -20.00    ,   -3.178    

Cd_Flaps for Plain Flaps (set 2)
Alpha, DeltaFlap
            ,    20.00    ,    10.00    ,    5.000    ,     .000    ,   -7.500    ,   -15.00    ,   -20.00    
  -16.00    ,    .1141    ,    .2691E-01,   -.2188E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -12.00    ,    .9459E-01,    .2057E-01,   -.1237E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -8.000    ,    .7551E-01,    .1436E-01,   -.3055E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -4.000    ,    .5654E-01,    .8186E-02,    .6202E-02,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
  -2.000    ,    .4752E-01,    .5250E-02,    .1061E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
    .000    ,    .3879E-01,    .2408E-02,    .1487E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   2.000    ,    .2996E-01,   -.4649E-03,    .1918E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   4.000    ,    .2095E-01,   -.3397E-02,    .2358E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   6.000    ,    .1158E-01,   -.6446E-02,    .2815E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29
   8.000    ,    .1978E-02,   -.9572E-02,    .3284E-01,     .000    ,    .1000E-29,    .1000E-29,    .1000E-29

Plain Flaps (set 3)
DeltaFlap, CL
   20.00    ,   -.1199    
   10.00    ,   -.7802E-01
   5.000    ,   -.3901E-01
    .000    ,     .000    
  -7.500    ,    .5851E-01
  -15.00    ,    .1120    
  -20.00    ,    .1199    

Plain Flaps (set 3)
DeltaFlap, Cm
   20.00    ,      nan    
   10.00    ,      nan    
   5.000    ,      nan    
    .000    ,     .000    
  -7.500    ,      nan    
  -15.00    ,      nan    
